# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles:u'
# Event count (approx.): 73173668235
#
#     Self  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.14%  node                  [.] v8::internal::Isolate::ClearKeptObjects()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.14%  node-v137.node        [.] us_socket_ext                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.14%  node                  [.] v8::internal::FieldType::NowContains(v8::internal::Tagged<v8::internal::FieldType>, v8::internal::Tagged<v8::internal::Object>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.14%  [vdso]                [.] 0x0000000000000e64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.14%  node-v137.node        [.] (anonymous namespace)::ResponseOnAborted(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.13%  node                  [.] v8::internal::MayHaveInterestingProperties(v8::internal::Isolate*, v8::internal::Tagged<v8::internal::JSReceiver>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.13%  node                  [.] v8::Value::IsNumber() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.12%  node                  [.] v8::internal::Factory::NewJSArray(v8::internal::ElementsKind, int, int, v8::internal::ArrayStorageAllocationMode, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.12%  node                  [.] Builtins_StringEqual                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.12%  node                  [.] v8::internal::TimerEventScope<v8::internal::TimerEventExecute>::LogTimerEvent(v8::LogEventStatus)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.12%  node                  [.] v8::Function::Call(v8::Local<v8::Context>, v8::Local<v8::Value>, int, v8::Local<v8::Value>*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.12%  node                  [.] Builtins_JSEntry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.12%  node-v137.node        [.] v8::HandleScope::~HandleScope()@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.12%  node                  [.] v8::internal::GetCurrentStackPosition()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.12%  node                  [.] uv_update_time                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.11%  node                  [.] v8::internal::Factory::NewJSArrayWithUnverifiedElements(v8::internal::DirectHandle<v8::internal::Map>, v8::internal::DirectHandle<v8::internal::FixedArrayBase>, int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.11%  node-v137.node        [.] char const* std::__find_if<char const*, __gnu_cxx::__ops::_Iter_pred<(anonymous namespace)::ContainsInvalidHeaderValueCharacter(std::basic_string_view<char, std::char_traits<char> >)::{lambda(unsigned char)#1}> >(char const*, char const*, __gnu_cxx::__ops::_Iter_pred<(anonymous namespace)::ContainsInvalidHeaderValueCharacter(std::basic_string_view<char, std::char_traits<char> >)::{lambda(unsigned char)#1}>, std::random_access_iterator_tag) [clone .isra.0]                                                                                                                                                                                                                                        -      -
     0.11%  node                  [.] std::deque<v8::Local<v8::Object>*, std::allocator<v8::Local<v8::Object>*> >::_M_default_append(unsigned long) [clone .part.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.11%  node                  [.] Builtins_Typeof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.11%  node                  [.] v8::internal::HeapObjectLayout::SizeFromMap(v8::internal::Tagged<v8::internal::Map>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.11%  node-v137.node        [.] us_socket_context@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.11%  node-v137.node        [.] std::_Sp_counted_ptr_inplace<(anonymous namespace)::AsyncResponseState, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose() [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -
     0.11%  node                  [.] v8::internal::Execution::Call(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::Object>, v8::internal::DirectHandle<v8::internal::Object>, v8::base::Vector<v8::internal::DirectHandle<v8::internal::Object> const>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.10%  node                  [.] v8::internal::LocalHeap::RemoveGCEpilogueCallback(void (*)(void*), void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.10%  node-v137.node        [.] (anonymous namespace)::RequestGetUrl(v8::FunctionCallbackInfo<v8::Value> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.10%  node-v137.node        [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.10%  node                  [.] v8::internal::FactoryBase<v8::internal::Factory>::AllocateRawFixedArray(int, v8::internal::AllocationType)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.10%  node                  [.] v8::HandleScope::CreateHandle(v8::internal::Isolate*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.09%  node-v137.node        [.] us_socket_write                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.08%  node                  [.] v8::internal::JSMap::Clear(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSMap>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -
     0.08%  node                  [.] node::timers::BindingData::FastGetLibuvNow(v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.08%  node-v137.node        [.] us_internal_dispatch_ready_poll                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.08%  [JIT] tid 313537      [.] JS:*' file:///tmp/binding-perf-release-bench.V6BOGG/node_modules/@swarmmachina/swm-core/src/server/http-runtime.js:247:21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -
     0.08%  node                  [.] node::async_context_frame::exchange(v8::Isolate*, v8::Local<v8::Value>)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.08%  node                  [.] v8::internal::JSReceiver::SetIntegrityLevel(v8::internal::Isolate*, v8::internal::DirectHandle<v8::internal::JSReceiver>, v8::internal::PropertyAttributes, v8::internal::ShouldThrow)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.07%  node-v137.node        [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release_last_use_cold()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.07%  node-v137.node        [.] (anonymous namespace)::InvalidateAsyncResponse(std::shared_ptr<(anonymous namespace)::AsyncResponseState> const&) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.07%  node                  [.] v8::Object::New(v8::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.05%  node                  [.] v8::internal::String::SlowEquals(v8::internal::Tagged<v8::internal::String>) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.05%  node-v137.node        [.] (anonymous namespace)::InvalidateResponseObject(v8::Local<v8::Object>) [clone .lto_priv.0]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -
     0.01%  node-v137.node        [.] uWS::AsyncSocket<false>::uncork(char const*, int, bool)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -
     0.01%  node                  [.] v8::internal::MainAllocator::AllocateRawSlow(int, v8::internal::AllocationAlignment, v8::internal::AllocationOrigin)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -
     0.01%  node                  [.] v8::internal::ScavengerCollector::CollectGarbage()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.00%  [vdso]                [.] 0x00007d636286be64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.00%  libc.so.6             [.] __libc_start_call_main                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  libc.so.6             [.] __libc_start_main@@GLIBC_2.34                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  node                  [.] Builtins_CEntry_Return1_ArgvOnStack_NoBuiltinExit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -
     0.00%  node                  [.] PushAllRegistersAndIterateStack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  node                  [.] _start                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  node                  [.] node::NodeMainInstance::Run()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  node                  [.] node::SpinEventLoopInternal(node::Environment*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  node                  [.] node::Start(int, char**)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -
     0.00%  node                  [.] uv_run                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -
     0.00%  node                  [.] v8::internal::Factory::NewFillerObject(int, v8::internal::AllocationAlignment, v8::internal::AllocationType, v8::internal::AllocationOrigin)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
     0.00%  node                  [.] v8::internal::Heap::CollectGarbage(v8::internal::AllocationSpace, v8::internal::GarbageCollectionReason, v8::GCCallbackFlags)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -
     0.00%  node                  [.] v8::internal::Heap::CollectGarbage(v8::internal::AllocationSpace, v8::internal::GarbageCollectionReason, v8::GCCallbackFlags)::{lambda()#2}::operator()() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -
     0.00%  node                  [.] v8::internal::Heap::IterateRoots(v8::internal::RootVisitor*, v8::base::EnumSet<v8::internal::SkipRoot, int>, v8::internal::Heap::IterateRootsMode)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -
     0.00%  node                  [.] v8::internal::Heap::PerformGarbageCollection(v8::internal::GarbageCollector, v8::internal::GarbageCollectionReason, char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -
     0.00%  node                  [.] v8::internal::Heap::Scavenge()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -
     0.00%  node                  [.] v8::internal::HeapAllocator::AllocateRawWithRetryOrFailSlowPath(int, v8::internal::AllocationType, v8::internal::AllocationOrigin, v8::internal::AllocationAlignment)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -
     0.00%  node                  [.] v8::internal::Runtime_AllocateInYoungGeneration(int, unsigned long*, v8::internal::Isolate*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -
